Config,Accuracy
batch128_lr0.01_0.002_0.001_dp0.5,0.9846
batch256_lr0.01_0.002_0.001_dp0.2,0.9843
batch128_lr0.01_0.005_0.001_dp0.5,0.9842
batch256_lr0.01_0.005_0.002_dp0.5,0.9842
batch256_lr0.01_0.005_0.001_dp0.5,0.9841
batch128_lr0.01_0.005_0.002_dp0.5,0.9840
batch256_lr0.01_0.002_0.001_dp0.5,0.9840
batch64_lr0.01_0.005_0.002_dp0.5,0.9839
batch64_lr0.01_0.005_0.001_dp0.5,0.9839
batch64_lr0.01_0.002_0.001_dp0.5,0.9838
batch256_lr0.01_0.01_0.01_dp0.5,0.9838
batch64_lr0.005_0.002_0.001_dp0.5,0.9837
batch256_lr0.01_0.005_0.001_dp0.2,0.9835
batch64_lr0.01_0.005_0.001_dp0.2,0.9834
batch64_lr0.01_0.002_0.001_dp0.2,0.9834
batch256_lr0.01_0.005_0.002_dp0.2,0.9833
batch256_lr0.005_0.002_0.001_dp0.5,0.9832
batch64_lr0.01_0.002_0.001_dp0.0,0.9831
batch256_lr0.01_0.005_0.001_dp0.0,0.9831
batch64_lr0.005_0.002_0.001_dp0.0,0.9825
batch128_lr0.01_0.002_0.001_dp0.2,0.9825
batch128_lr0.01_0.005_0.001_dp0.0,0.9823
batch128_lr0.005_0.002_0.001_dp0.2,0.9823
batch256_lr0.01_0.005_0.002_dp0.0,0.9823
batch64_lr0.002_0.002_0.002_dp0.5,0.9821
batch256_lr0.01_0.002_0.001_dp0.0,0.9821
batch128_lr0.005_0.002_0.001_dp0.5,0.9820
batch64_lr0.005_0.002_0.001_dp0.2,0.9819
batch128_lr0.01_0.002_0.001_dp0.0,0.9819
batch256_lr0.01_0.01_0.01_dp0.2,0.9819
batch128_lr0.01_0.005_0.002_dp0.0,0.9818
batch128_lr0.005_0.002_0.001_dp0.0,0.9818
batch64_lr0.01_0.005_0.002_dp0.2,0.9817
batch64_lr0.01_0.005_0.001_dp0.0,0.9817
batch64_lr0.001_0.001_0.001_dp0.5,0.9817
batch256_lr0.005_0.002_0.001_dp0.0,0.9816
batch128_lr0.01_0.01_0.01_dp0.5,0.9815
batch256_lr0.005_0.002_0.001_dp0.2,0.9814
batch64_lr0.01_0.005_0.002_dp0.0,0.9812
batch64_lr0.005_0.005_0.005_dp0.5,0.9812
batch128_lr0.01_0.005_0.002_dp0.2,0.9812
batch128_lr0.002_0.002_0.002_dp0.5,0.9812
batch256_lr0.005_0.005_0.005_dp0.2,0.9812
batch64_lr0.002_0.002_0.002_dp0.0,0.9811
batch256_lr0.005_0.005_0.005_dp0.5,0.9811
batch128_lr0.01_0.005_0.001_dp0.2,0.9810
batch128_lr0.005_0.005_0.005_dp0.5,0.9808
batch64_lr0.005_0.005_0.005_dp0.2,0.9805
batch64_lr0.01_0.01_0.01_dp0.5,0.9803
batch256_lr0.001_0.001_0.001_dp0.5,0.9803
batch64_lr0.01_0.01_0.01_dp0.2,0.9801
batch64_lr0.002_0.002_0.002_dp0.2,0.9801
batch128_lr0.001_0.001_0.001_dp0.0,0.9801
batch256_lr0.002_0.002_0.002_dp0.0,0.9800
batch256_lr0.002_0.002_0.002_dp0.2,0.9800
batch256_lr0.002_0.002_0.002_dp0.5,0.9798
batch128_lr0.01_0.01_0.01_dp0.0,0.9797
batch128_lr0.002_0.002_0.002_dp0.2,0.9796
batch256_lr0.001_0.001_0.001_dp0.2,0.9795
batch256_lr0.01_0.01_0.01_dp0.0,0.9794
batch128_lr0.001_0.001_0.001_dp0.5,0.9791
batch256_lr0.005_0.005_0.005_dp0.0,0.9791
batch64_lr0.01_0.01_0.01_dp0.0,0.9788
batch64_lr0.001_0.001_0.001_dp0.2,0.9788
batch128_lr0.002_0.002_0.002_dp0.0,0.9788
batch64_lr0.005_0.005_0.005_dp0.0,0.9787
batch128_lr0.005_0.005_0.005_dp0.2,0.9787
batch128_lr0.01_0.01_0.01_dp0.2,0.9784
batch128_lr0.001_0.001_0.001_dp0.2,0.9774
batch64_lr0.001_0.001_0.001_dp0.0,0.9772
batch128_lr0.005_0.005_0.005_dp0.0,0.9768
batch256_lr0.001_0.001_0.001_dp0.0,0.9766
